GTEX-N7MS-0007-SM-2D7W1	GSM1117144_GTEX-N7MS-0007-SM-2D43E.CEL
GTEX-PLZ5-1726-SM-2I5F6	GSM1117447_GTEX-PLZ5-1726-SM-2M48L.CEL
GTEX-PLZ5-2026-SM-2S1O4	GSM1117448_GTEX-PLZ5-2026-SM-2M48B.CEL
GTEX-PLZ6-0426-SM-2I5FG	GSM1117450_GTEX-PLZ6-0426-SM-2M48R.CEL
GTEX-PLZ6-1426-SM-2S1OQ	GSM1117451_GTEX-PLZ6-1426-SM-2QU4V.CEL
GTEX-PLZ6-1526-SM-2S1OC	GSM1117452_GTEX-PLZ6-1526-SM-2QU3D.CEL
GTEX-PLZ6-1726-SM-2S1O6	GSM1117453_GTEX-PLZ6-1726-SM-2QU2Z.CEL
GTEX-POMQ-0006-SM-33HBY	GSM1117454_GTEX-POMQ-0006-SM-2M48J.CEL
GTEX-POMQ-0326-SM-2I5FO	GSM1117455_GTEX-POMQ-0326-SM-2M48U.CEL
GTEX-POMQ-0526-SM-3GADD	GSM1117456_GTEX-POMQ-0526-SM-2QU4T.CEL
GTEX-POMQ-2026-SM-2S1OD	GSM1117457_GTEX-POMQ-2026-SM-2QU3S.CEL
GTEX-POMQ-2126-SM-2S1OJ	GSM1117458_GTEX-POMQ-2126-SM-2QU4E.CEL
GTEX-POMQ-2226-SM-2I5FK	GSM1117459_GTEX-POMQ-2226-SM-2M48S.CEL
GTEX-POMQ-2326-SM-2S1O8	GSM1117460_GTEX-POMQ-2326-SM-2QU32.CEL
GTEX-POYW-0006-SM-2XCF4	GSM1117461_GTEX-POYW-0006-SM-2XV6I.CEL
GTEX-POYW-0426-SM-2XCEV	GSM1117462_GTEX-POYW-0426-SM-2XV4T.CEL
GTEX-POYW-0526-SM-2XCEY	GSM1117463_GTEX-POYW-0526-SM-2XV5Y.CEL
GTEX-POYW-0826-SM-2XCEM	GSM1117464_GTEX-POYW-0826-SM-2XV4Y.CEL
GTEX-POYW-1226-SM-2XCEP	GSM1117465_GTEX-POYW-1226-SM-2XV5C.CEL
GTEX-PSDG-0005-SM-3GADC	GSM1117466_GTEX-PSDG-0005-SM-2M481.CEL
GTEX-PSDG-0226-SM-33HC1	GSM1117467_GTEX-PSDG-0226-SM-2M48X.CEL
GTEX-PSDG-0426-SM-2S1OF	GSM1117468_GTEX-PSDG-0426-SM-2QU46.CEL
GTEX-PSDG-0526-SM-2S1OH	GSM1117469_GTEX-PSDG-0526-SM-2QU4G.CEL
GTEX-PSDG-0626-SM-2S1OE	GSM1117470_GTEX-PSDG-0626-SM-2QU42.CEL
GTEX-PSDG-0726-SM-2I5FN	GSM1117471_GTEX-PSDG-0726-SM-2M48T.CEL
GTEX-PSDG-0926-SM-2I5FP	GSM1117472_GTEX-PSDG-0926-SM-2M48V.CEL
GTEX-PSDG-1126-SM-2S1ON	GSM1117473_GTEX-PSDG-1126-SM-2QU4R.CEL
GTEX-PVOW-0006-SM-3NMB8	GSM1117474_GTEX-PVOW-0006-SM-2XV5H.CEL
GTEX-PVOW-0011-R1A-SM-32PL6	GSM1117475_GTEX-PVOW-0011-R1A-SM-2XV5W.CEL
GTEX-PVOW-0011-R3A-SM-32PKX	GSM1117476_GTEX-PVOW-0011-R3A-SM-2XV66.CEL
GTEX-PVOW-0011-R5A-SM-32PL7	GSM1117477_GTEX-PVOW-0011-R5A-SM-2XV6T.CEL
GTEX-PVOW-0126-SM-2XCFA	GSM1117478_GTEX-PVOW-0126-SM-2XV68.CEL
GTEX-PVOW-0426-SM-2XCF8	GSM1117479_GTEX-PVOW-0426-SM-2XV5E.CEL
GTEX-PVOW-0626-SM-2XCF6	GSM1117480_GTEX-PVOW-0626-SM-2XV4R.CEL
GTEX-PVOW-0726-SM-2XCF5	GSM1117481_GTEX-PVOW-0726-SM-2XV5G.CEL
GTEX-PVOW-1026-SM-2XCF9	GSM1117482_GTEX-PVOW-1026-SM-2XV5D.CEL
GTEX-PVOW-2526-SM-2XCF7	GSM1117483_GTEX-PVOW-2526-SM-2XV6F.CEL
GTEX-PVOW-2626-SM-32PL8	GSM1117484_GTEX-PVOW-2626-SM-2XV6W.CEL
GTEX-PW2O-0006-SM-2I3DV	GSM1117485_GTEX-PW2O-0006-SM-2IZHL.CEL
GTEX-PW2O-0526-SM-2I3DX	GSM1117486_GTEX-PW2O-0526-SM-2IZHN.CEL
GTEX-PW2O-1726-SM-2S1OO	GSM1117488_GTEX-PW2O-1726-SM-2QU4Y.CEL
GTEX-PW2O-1926-SM-2S1OB	GSM1117490_GTEX-PW2O-1926-SM-2QU39.CEL
GTEX-PWCY-0005-SM-33HBP	GSM1117491_GTEX-PWCY-0005-SM-2IZHR.CEL
GTEX-PWCY-0526-SM-2I3ER	GSM1117492_GTEX-PWCY-0526-SM-2IZIG.CEL
GTEX-PWCY-2226-SM-2S1OP	GSM1117494_GTEX-PWCY-2226-SM-2QU4X.CEL
GTEX-PWCY-2326-SM-2I3EQ	GSM1117495_GTEX-PWCY-2326-SM-2IZIF.CEL
GTEX-PWN1-0126-SM-2I3FK	GSM1117497_GTEX-PWN1-0126-SM-2IZIM.CEL
GTEX-PWN1-0226-SM-2S1OZ	GSM1117498_GTEX-PWN1-0226-SM-2QU2P.CEL
GTEX-PWN1-1626-SM-2S1OL	GSM1117499_GTEX-PWN1-1626-SM-2QU4N.CEL
GTEX-PWN1-1726-SM-2S1O9	GSM1117500_GTEX-PWN1-1726-SM-2QU37.CEL
GTEX-PWN1-1826-SM-2S1PE	GSM1117501_GTEX-PWN1-1826-SM-2QU3G.CEL
GTEX-PWN1-2626-SM-2I3FH	GSM1117502_GTEX-PWN1-2626-SM-2IZIJ.CEL
GTEX-PWO3-0005-SM-2I5FS	GSM1117503_GTEX-PWO3-0005-SM-2IZJC.CEL
GTEX-PWO3-0011-R1A-SM-2I5EW	GSM1117504_GTEX-PWO3-0011-R1A-SM-2IZIW.CEL
GTEX-PWO3-0011-R2A-SM-2S1OX	GSM1117505_GTEX-PWO3-0011-R2A-SM-2IZJO.CEL
GTEX-PWO3-0011-R3A-SM-2I5EX	GSM1117506_GTEX-PWO3-0011-R3A-SM-2IZIX.CEL
GTEX-PWO3-0011-R5A-SM-2I5EZ	GSM1117507_GTEX-PWO3-0011-R5A-SM-2IZIZ.CEL
GTEX-PWO3-0011-R6A-SM-2I5F3	GSM1117508_GTEX-PWO3-0011-R6A-SM-2IZJ2.CEL
GTEX-PWO3-0011-R8A-SM-2I5GD	GSM1117509_GTEX-PWO3-0011-R8A-SM-2M49F.CEL
GTEX-PWO3-0926-SM-2I5EY	GSM1117510_GTEX-PWO3-0926-SM-2IZIY.CEL
GTEX-PWO3-1026-SM-2I5F2	GSM1117511_GTEX-PWO3-1026-SM-2IZJ1.CEL
GTEX-PWOO-0006-SM-2I3E3	GSM1117513_GTEX-PWOO-0006-SM-2IZHS.CEL
GTEX-PWOO-0526-SM-2S1Q3	GSM1117514_GTEX-PWOO-0526-SM-2QU5E.CEL
GTEX-PWOO-0726-SM-2I3EB	GSM1117515_GTEX-PWOO-0726-SM-2IZI1.CEL
GTEX-PWOO-0926-SM-2I3EC	GSM1117516_GTEX-PWOO-0926-SM-2IZI2.CEL
GTEX-PWOO-2226-SM-2S1P1	GSM1117517_GTEX-PWOO-2226-SM-2QU2S.CEL
GTEX-PWOO-2326-SM-2S1PQ	GSM1117518_GTEX-PWOO-2326-SM-2QU4C.CEL
GTEX-PWOO-2426-SM-2S1OV	GSM1117519_GTEX-PWOO-2426-SM-2IZJI.CEL
GTEX-PWOO-2526-SM-2S1PG	GSM1117520_GTEX-PWOO-2526-SM-2QU3N.CEL
GTEX-PX3G-0126-SM-2I3EN	GSM1117522_GTEX-PX3G-0126-SM-2IZIC.CEL
GTEX-PX3G-0326-SM-2I3EO	GSM1117523_GTEX-PX3G-0326-SM-2IZID.CEL
GTEX-PX3G-0526-SM-2I3EM	GSM1117524_GTEX-PX3G-0526-SM-2IZIB.CEL
GTEX-PX3G-1626-SM-2S1PT	GSM1117525_GTEX-PX3G-1626-SM-2QU4K.CEL
GTEX-PX3G-1826-SM-2S1PK	GSM1117526_GTEX-PX3G-1826-SM-2QU3P.CEL
GTEX-PX3G-2626-SM-2I3EG	GSM1117527_GTEX-PX3G-2626-SM-2IZI6.CEL
GTEX-Q2AG-0005-SM-33HBX	GSM1117528_GTEX-Q2AG-0005-SM-2IZK2.CEL
GTEX-Q2AG-0011-R10A-SM-2HMLA	GSM1117529_GTEX-Q2AG-0011-R10A-SM-2IZK9.CEL
GTEX-Q2AG-0011-R11A-SM-2HMKZ	GSM1117530_GTEX-Q2AG-0011-R11A-SM-2IZK6.CEL
GTEX-Q2AG-0011-R1A-SM-2HMJI	GSM1117531_GTEX-Q2AG-0011-R1A-SM-2IZJV.CEL
GTEX-Q2AG-0011-R2A-SM-2HMIT	GSM1117532_GTEX-Q2AG-0011-R2A-SM-2IZKB.CEL
GTEX-Q2AG-0011-R3A-SM-2HMJ9	GSM1117533_GTEX-Q2AG-0011-R3A-SM-2IZJT.CEL
GTEX-Q2AG-0011-R4A-SM-2HMKA	GSM1117534_GTEX-Q2AG-0011-R4A-SM-2IZK4.CEL
GTEX-Q2AG-0011-R5A-SM-2HMJH	GSM1117535_GTEX-Q2AG-0011-R5A-SM-2IZJU.CEL
GTEX-Q2AG-0011-R6A-SM-2HML7	GSM1117536_GTEX-Q2AG-0011-R6A-SM-2IZK8.CEL
GTEX-Q2AG-0011-R7A-SM-2HMJP	GSM1117537_GTEX-Q2AG-0011-R7A-SM-2IZKA.CEL
GTEX-Q2AG-0011-R8A-SM-2HMK5	GSM1117538_GTEX-Q2AG-0011-R8A-SM-2IZK3.CEL
GTEX-Q2AG-0011-R9A-SM-2HMJ6	GSM1117539_GTEX-Q2AG-0011-R9A-SM-2IZJS.CEL
GTEX-Q2AG-0126-SM-33HBV	GSM1117540_GTEX-Q2AG-0126-SM-2IZJX.CEL
GTEX-Q2AG-0226-SM-2S1P4	GSM1117541_GTEX-Q2AG-0226-SM-2QU2T.CEL
GTEX-Q2AG-0426-SM-2S1PU	GSM1117542_GTEX-Q2AG-0426-SM-2QU4J.CEL
GTEX-Q2AG-0526-SM-2S1PW	GSM1117543_GTEX-Q2AG-0526-SM-2QU4W.CEL
GTEX-Q2AG-0626-SM-2S1PV	GSM1117544_GTEX-Q2AG-0626-SM-2QU4M.CEL
GTEX-Q2AG-0826-SM-2HMKF	GSM1117545_GTEX-Q2AG-0826-SM-2IZK5.CEL
GTEX-Q2AG-2826-SM-2HMJQ	GSM1117547_GTEX-Q2AG-2826-SM-2IZJY.CEL
GTEX-Q2AG-2926-SM-2HMJ3	GSM1117548_GTEX-Q2AG-2926-SM-2IZJR.CEL
GTEX-Q2AH-0426-SM-2I3EP	GSM1117550_GTEX-Q2AH-0426-SM-2IZIE.CEL
GTEX-Q2AH-0526-SM-2I3ED	GSM1117551_GTEX-Q2AH-0526-SM-2IZI3.CEL
GTEX-Q2AH-0726-SM-2I3EA	GSM1117552_GTEX-Q2AH-0726-SM-2IZHZ.CEL
GTEX-Q2AH-1626-SM-3GAF8	GSM1117553_GTEX-Q2AH-1626-SM-2QU36.CEL
GTEX-Q2AH-1826-SM-2S1Q2	GSM1117554_GTEX-Q2AH-1826-SM-2QU55.CEL
GTEX-Q2AH-1926-SM-2S1PN	GSM1117555_GTEX-Q2AH-1926-SM-2QU43.CEL
GTEX-Q2AH-2026-SM-2S1PX	GSM1117556_GTEX-Q2AH-2026-SM-2QU4Q.CEL
GTEX-Q2AI-0006-SM-2I3FG	GSM1117557_GTEX-Q2AI-0006-SM-2IZII.CEL
GTEX-Q2AI-0326-SM-2I3EK	GSM1117558_GTEX-Q2AI-0326-SM-2IZI9.CEL
GTEX-Q2AI-0526-SM-2I3EJ	GSM1117559_GTEX-Q2AI-0526-SM-2IZI8.CEL
GTEX-Q2AI-1326-SM-2S1PL	GSM1117560_GTEX-Q2AI-1326-SM-2QU41.CEL
GTEX-Q2AI-1426-SM-2S1P5	GSM1117561_GTEX-Q2AI-1426-SM-2QU2Y.CEL
GTEX-Q2AI-1526-SM-3GIJ3	GSM1117562_GTEX-Q2AI-1526-SM-2QU49.CEL
GTEX-Q2AI-1726-SM-2S1PZ	GSM1117564_GTEX-Q2AI-1726-SM-2QU4Z.CEL
GTEX-Q734-0006-SM-2I3FJ	GSM1117565_GTEX-Q734-0006-SM-2IZIL.CEL
GTEX-Q734-0526-SM-2I3EH	GSM1117566_GTEX-Q734-0526-SM-2IZI7.CEL
GTEX-Q734-0626-SM-2I3EF	GSM1117567_GTEX-Q734-0626-SM-2IZI5.CEL
GTEX-Q734-1826-SM-2I3EL	GSM1117568_GTEX-Q734-1826-SM-2IZIA.CEL
GTEX-Q734-1926-SM-2I5EV	GSM1117569_GTEX-Q734-1926-SM-2IZIV.CEL
GTEX-Q734-2026-SM-3GADA	GSM1117570_GTEX-Q734-2026-SM-2QU4S.CEL
GTEX-Q734-2226-SM-3GAD9	GSM1117571_GTEX-Q734-2226-SM-2QU4H.CEL
GTEX-QCQG-0006-SM-2S1OW	GSM1117572_GTEX-QCQG-0006-SM-2IZJN.CEL
GTEX-QCQG-0326-SM-2I3ES	GSM1117573_GTEX-QCQG-0326-SM-2IZIH.CEL
GTEX-QCQG-1726-SM-3GIJ9	GSM1117574_GTEX-QCQG-1726-SM-2QU57.CEL
GTEX-QCQG-1826-SM-2S1P2	GSM1117575_GTEX-QCQG-1826-SM-2QU2R.CEL
GTEX-QCQG-1926-SM-2S1PI	GSM1117576_GTEX-QCQG-1926-SM-2QU3U.CEL
GTEX-QCQG-2026-SM-2S1PH	GSM1117577_GTEX-QCQG-2026-SM-2QU3K.CEL
GTEX-QCQG-2126-SM-2S1P8	GSM1117578_GTEX-QCQG-2126-SM-2QU35.CEL
GTEX-QDT8-0006-SM-32PL3	GSM1117579_GTEX-QDT8-0006-SM-2XV5I.CEL
GTEX-QDT8-0226-SM-32PL4	GSM1117580_GTEX-QDT8-0226-SM-2XV5J.CEL
GTEX-QDT8-0326-SM-32PL1	GSM1117581_GTEX-QDT8-0326-SM-2XV4W.CEL
GTEX-QDT8-0426-SM-32PKZ	GSM1117582_GTEX-QDT8-0426-SM-2XV4J.CEL
GTEX-QDT8-0526-SM-3NMD8	GSM1117583_GTEX-QDT8-0526-SM-2XV5Q.CEL
GTEX-QDT8-0926-SM-32PL2	GSM1117584_GTEX-QDT8-0926-SM-2XV59.CEL
GTEX-QDVJ-0005-SM-2TC5X	GSM1117585_GTEX-QDVJ-0005-SM-2QU5C.CEL
GTEX-QDVJ-0226-SM-2I5FV	GSM1117586_GTEX-QDVJ-0226-SM-2M48Z.CEL
GTEX-QDVJ-0426-SM-2I5FW	GSM1117587_GTEX-QDVJ-0426-SM-2M491.CEL
GTEX-QDVJ-0926-SM-2I5FU	GSM1117588_GTEX-QDVJ-0926-SM-2M48Y.CEL
GTEX-QDVJ-1726-SM-2I5FX	GSM1117589_GTEX-QDVJ-1726-SM-2M492.CEL
GTEX-QDVJ-1826-SM-2S1P3	GSM1117590_GTEX-QDVJ-1826-SM-2QU2U.CEL
GTEX-QDVJ-1926-SM-2S1PJ	GSM1117591_GTEX-QDVJ-1926-SM-2QU3T.CEL
GTEX-QDVJ-2026-SM-2S1PD	GSM1117592_GTEX-QDVJ-2026-SM-2QU3H.CEL
GTEX-QDVN-0326-SM-2I3FS	GSM1117594_GTEX-QDVN-0326-SM-2IZIS.CEL
GTEX-QDVN-0626-SM-2I3FP	GSM1117595_GTEX-QDVN-0626-SM-2M49S.CEL
GTEX-QDVN-0726-SM-2I3FO	GSM1117596_GTEX-QDVN-0726-SM-2IZIP.CEL
GTEX-QDVN-2026-SM-3GAEP	GSM1117598_GTEX-QDVN-2026-SM-2QU4I.CEL
GTEX-QDVN-2226-SM-2S1PM	GSM1117600_GTEX-QDVN-2226-SM-2QU3V.CEL
GTEX-QDVN-2326-SM-2S1PF	GSM1117601_GTEX-QDVN-2326-SM-2QU3O.CEL
GTEX-QDVN-2426-SM-2S1Q4	GSM1117602_GTEX-QDVN-2426-SM-2QU5A.CEL
GTEX-QEG4-0006-SM-2I5FY	GSM1117603_GTEX-QEG4-0006-SM-2M493.CEL
GTEX-QEG4-0226-SM-2S1PY	GSM1117604_GTEX-QEG4-0226-SM-2QU52.CEL
GTEX-QEG4-0426-SM-33HC3	GSM1117605_GTEX-QEG4-0426-SM-2M49M.CEL
GTEX-QEG4-0626-SM-2S1OY	GSM1117606_GTEX-QEG4-0626-SM-2M487.CEL
GTEX-QEG4-1126-SM-2S1P7	GSM1117607_GTEX-QEG4-1126-SM-2QU2V.CEL
GTEX-QEG4-1226-SM-2S1P6	GSM1117608_GTEX-QEG4-1226-SM-2QU2X.CEL
GTEX-QEG5-0006-SM-2I5FZ	GSM1117609_GTEX-QEG5-0006-SM-2IZJE.CEL
GTEX-QEG5-0226-SM-2I5GI	GSM1117610_GTEX-QEG5-0226-SM-2M49K.CEL
GTEX-QEG5-0326-SM-2S1PB	GSM1117611_GTEX-QEG5-0326-SM-2QU3C.CEL
GTEX-QEG5-0426-SM-2I5GJ	GSM1117612_GTEX-QEG5-0426-SM-2M49L.CEL
GTEX-QEG5-0626-SM-2S1PP	GSM1117614_GTEX-QEG5-0626-SM-2QU47.CEL
GTEX-QEG5-0826-SM-2I5GF	GSM1117615_GTEX-QEG5-0826-SM-2M49H.CEL
GTEX-QEG5-0926-SM-2TC64	GSM1117616_GTEX-QEG5-0926-SM-2M49I.CEL
GTEX-QEL4-0326-SM-3GAE5	GSM1117619_GTEX-QEL4-0326-SM-2TWAX.CEL
GTEX-QEL4-0526-SM-3GIJ4	GSM1117620_GTEX-QEL4-0526-SM-2TWAR.CEL
GTEX-QEL4-0626-SM-3GIJM	GSM1117621_GTEX-QEL4-0626-SM-2TWB7.CEL
GTEX-QEL4-0726-SM-3GIJ5	GSM1117622_GTEX-QEL4-0726-SM-2TWCQ.CEL
GTEX-QEL4-0826-SM-3GAF2	GSM1117623_GTEX-QEL4-0826-SM-2TWC4.CEL
GTEX-QEL4-0926-SM-3GAD1	GSM1117624_GTEX-QEL4-0926-SM-2TWBY.CEL
GTEX-QESD-0006-SM-2I5G6	GSM1117625_GTEX-QESD-0006-SM-2M499.CEL
GTEX-QESD-0526-SM-2I5G5	GSM1117626_GTEX-QESD-0526-SM-2M498.CEL
GTEX-QESD-0626-SM-2I5G4	GSM1117627_GTEX-QESD-0626-SM-2M497.CEL
GTEX-QESD-1426-SM-2S1R9	GSM1117628_GTEX-QESD-1426-SM-2QU4L.CEL
GTEX-QESD-1626-SM-2S1RB	GSM1117629_GTEX-QESD-1626-SM-2QU58.CEL
GTEX-QESD-1726-SM-2S1R7	GSM1117630_GTEX-QESD-1726-SM-2QU3X.CEL
GTEX-QLQ7-0005-SM-2S1QP	GSM1117631_GTEX-QLQ7-0005-SM-2M486.CEL
GTEX-QLQ7-0526-SM-2I5G3	GSM1117632_GTEX-QLQ7-0526-SM-2M496.CEL
GTEX-QLQ7-0726-SM-2I5G2	GSM1117633_GTEX-QLQ7-0726-SM-2M495.CEL
GTEX-QLQ7-1626-SM-2S1R8	GSM1117634_GTEX-QLQ7-1626-SM-2QU45.CEL
GTEX-QLQ7-1726-SM-2S1QQ	GSM1117635_GTEX-QLQ7-1726-SM-2M48G.CEL
GTEX-QLQ7-1826-SM-2S1R5	GSM1117636_GTEX-QLQ7-1826-SM-2QU3E.CEL
GTEX-QLQ7-1926-SM-2S1R6	GSM1117637_GTEX-QLQ7-1926-SM-2QU3Q.CEL
GTEX-QLQW-0005-SM-2S1RA	GSM1117638_GTEX-QLQW-0005-SM-2QU4U.CEL
GTEX-QLQW-1126-SM-2S1Q8	GSM1117639_GTEX-QLQW-1126-SM-2TO72.CEL
GTEX-QLQW-1326-SM-2S1QS	GSM1117640_GTEX-QLQW-1326-SM-2M48H.CEL
GTEX-QLQW-1426-SM-2S1QU	GSM1117641_GTEX-QLQW-1426-SM-2TO4N.CEL
GTEX-QLQW-1526-SM-2S1QV	GSM1117642_GTEX-QLQW-1526-SM-2TO4Z.CEL
GTEX-QMRM-0526-SM-2I5GA	GSM1117644_GTEX-QMRM-0526-SM-2M49C.CEL
GTEX-QMRM-0726-SM-2I5G8	GSM1117645_GTEX-QMRM-0726-SM-2M49B.CEL
GTEX-QMRM-0826-SM-3NB33	GSM1117646_GTEX-QMRM-0826-SM-2M49A.CEL
GTEX-QMRM-1726-SM-2S1QG	GSM1117647_GTEX-QMRM-1726-SM-2TO4I.CEL
GTEX-QV31-0726-SM-3GAEG	GSM1117649_GTEX-QV31-0726-SM-2TO6J.CEL
GTEX-QV31-1426-SM-2S1QD	GSM1117650_GTEX-QV31-1426-SM-2TO6Z.CEL
GTEX-QV31-1626-SM-2S1QC	GSM1117652_GTEX-QV31-1626-SM-2TO5A.CEL
GTEX-QV44-0526-SM-2S1RE	GSM1117654_GTEX-QV44-0526-SM-2TO51.CEL
GTEX-QV44-0826-SM-2S1RG	GSM1117655_GTEX-QV44-0826-SM-2TO6M.CEL
GTEX-QV44-0926-SM-2S1RH	GSM1117656_GTEX-QV44-0926-SM-2TO6O.CEL
GTEX-QV44-1926-SM-2S1RF	GSM1117657_GTEX-QV44-1926-SM-2TO4T.CEL
GTEX-QV44-2026-SM-2S1RD	GSM1117658_GTEX-QV44-2026-SM-2TO57.CEL
GTEX-QVJO-0006-SM-2S1RC	GSM1117659_GTEX-QVJO-0006-SM-2TO6V.CEL
GTEX-QVJO-0011-R10A-SM-2S1QJ	GSM1117660_GTEX-QVJO-0011-R10A-SM-2TO6Y.CEL
GTEX-QVJO-0011-R1A-SM-2S1QI	GSM1117661_GTEX-QVJO-0011-R1A-SM-2TO64.CEL
GTEX-QVJO-0011-R2A-SM-2S1QK	GSM1117662_GTEX-QVJO-0011-R2A-SM-2TO61.CEL
GTEX-QVJO-0011-R4A-SM-2S1QL	GSM1117663_GTEX-QVJO-0011-R4A-SM-2TO67.CEL
GTEX-QVJO-0011-R5A-SM-2S1QM	GSM1117664_GTEX-QVJO-0011-R5A-SM-2TO63.CEL
GTEX-QVJO-0011-R6A-SM-2S1QN	GSM1117665_GTEX-QVJO-0011-R6A-SM-2TO5X.CEL
GTEX-QVJO-0011-R9A-SM-2S1QH	GSM1117667_GTEX-QVJO-0011-R9A-SM-2TO5M.CEL
GTEX-QVJO-0126-SM-3GIK4	GSM1117668_GTEX-QVJO-0126-SM-2TO62.CEL
GTEX-QVJO-1325-SM-2S1QX	GSM1117671_GTEX-QVJO-1325-SM-2TO6N.CEL
GTEX-QVJO-1426-SM-2S1QY	GSM1117672_GTEX-QVJO-1426-SM-2TO5V.CEL
GTEX-QVJO-1626-SM-2S1QW	GSM1117673_GTEX-QVJO-1626-SM-2TO5E.CEL
GTEX-QVUS-0006-SM-3GAE8	GSM1117676_GTEX-QVUS-0006-SM-2TWBV.CEL
GTEX-QVUS-0011-R10A-SM-3GIK3	GSM1117677_GTEX-QVUS-0011-R10A-SM-2TWCC.CEL
GTEX-QVUS-0011-R1A-SM-3GAD2	GSM1117678_GTEX-QVUS-0011-R1A-SM-2TWC2.CEL
GTEX-QVUS-0011-R3A-SM-3GAFD	GSM1117679_GTEX-QVUS-0011-R3A-SM-2TWCR.CEL
GTEX-QVUS-0011-R4A-SM-3GAE7	GSM1117680_GTEX-QVUS-0011-R4A-SM-2TWBU.CEL
GTEX-QVUS-0011-R6A-SM-3GACX	GSM1117681_GTEX-QVUS-0011-R6A-SM-2TWBT.CEL
GTEX-QVUS-0011-R8A-SM-3GAD7	GSM1117682_GTEX-QVUS-0011-R8A-SM-2TWCG.CEL
GTEX-QVUS-0011-R9A-SM-3GIJA	GSM1117683_GTEX-QVUS-0011-R9A-SM-2TWAU.CEL
GTEX-QVUS-0226-SM-3GIJY	GSM1117684_GTEX-QVUS-0226-SM-2TWBX.CEL
GTEX-QVUS-2826-SM-3GADB	GSM1117685_GTEX-QVUS-2826-SM-2TWCH.CEL
GTEX-QVUS-2926-SM-3GIJB	GSM1117686_GTEX-QVUS-2926-SM-2TWDD.CEL
GTEX-QXCU-0006-SM-2TC5K	GSM1117687_GTEX-QXCU-0006-SM-2TO4H.CEL
GTEX-QXCU-0126-SM-2TC5Q	GSM1117688_GTEX-QXCU-0126-SM-2TO4U.CEL
GTEX-QXCU-0226-SM-2TC5W	GSM1117689_GTEX-QXCU-0226-SM-2TO52.CEL
GTEX-QXCU-0326-SM-2TC63	GSM1117690_GTEX-QXCU-0326-SM-2TO68.CEL
GTEX-QXCU-0626-SM-2TC69	GSM1117691_GTEX-QXCU-0626-SM-2TO5N.CEL
GTEX-QXCU-1726-SM-2TC6L	GSM1117693_GTEX-QXCU-1726-SM-2TO54.CEL
GTEX-R3RS-0005-SM-3GAEH	GSM1117694_GTEX-R3RS-0005-SM-2TO73.CEL
GTEX-R3RS-0126-SM-3GIJL	GSM1117695_GTEX-R3RS-0126-SM-2TO5G.CEL
GTEX-R3RS-0526-SM-3GADG	GSM1117697_GTEX-R3RS-0526-SM-2TO59.CEL
GTEX-R3RS-0726-SM-3GIJR	GSM1117698_GTEX-R3RS-0726-SM-2TO5R.CEL
GTEX-R3RS-1026-SM-3GADF	GSM1117699_GTEX-R3RS-1026-SM-2TO5T.CEL
GTEX-R45C-0006-SM-3GAD6	GSM1117700_GTEX-R45C-0006-SM-2TWCB.CEL
GTEX-R45C-0926-SM-3GAD4	GSM1117703_GTEX-R45C-0926-SM-2TWCY.CEL
GTEX-R53T-0005-SM-3GADK	GSM1117704_GTEX-R53T-0005-SM-2TO74.CEL
GTEX-R53T-0526-SM-3GADL	GSM1117705_GTEX-R53T-0526-SM-2TO76.CEL
GTEX-R53T-0926-SM-3GADH	GSM1117707_GTEX-R53T-0926-SM-2TO5U.CEL
GTEX-R53T-1826-SM-3GIJX	GSM1117708_GTEX-R53T-1826-SM-2TO5Z.CEL
GTEX-R53T-2026-SM-3GIJF	GSM1117709_GTEX-R53T-2026-SM-2TO4X.CEL
GTEX-R55C-0005-SM-3GAE9	GSM1117710_GTEX-R55C-0005-SM-2TO5O.CEL
GTEX-R55C-0326-SM-3GAF1	GSM1117711_GTEX-R55C-0326-SM-2TO5H.CEL
GTEX-R55C-0526-SM-3GIKA	GSM1117712_GTEX-R55C-0526-SM-2TO6D.CEL
GTEX-R55C-0626-SM-2TF4Q	GSM1117713_GTEX-R55C-0626-SM-2TO5I.CEL
GTEX-R55C-1726-SM-3GADJ	GSM1117714_GTEX-R55C-1726-SM-2TO69.CEL
GTEX-R55C-1826-SM-3GADI	GSM1117715_GTEX-R55C-1826-SM-2TO5C.CEL
GTEX-R55C-1926-SM-2TF4K	GSM1117716_GTEX-R55C-1926-SM-2TO4Y.CEL
GTEX-R55D-0006-SM-3GIJS	GSM1117717_GTEX-R55D-0006-SM-2TWBJ.CEL
GTEX-R55D-0626-SM-3GAD5	GSM1117720_GTEX-R55D-0626-SM-2TWBB.CEL
GTEX-R55D-0926-SM-3GAEU	GSM1117721_GTEX-R55D-0926-SM-2TWDB.CEL
GTEX-R55D-1026-SM-3GAEQ	GSM1117722_GTEX-R55D-1026-SM-2TWC3.CEL
GTEX-R55E-0006-SM-2TC5G	GSM1117723_GTEX-R55E-0006-SM-2TO6I.CEL
GTEX-R55E-0011-R11A-SM-2TC6I	GSM1117724_GTEX-R55E-0011-R11A-SM-2TO6C.CEL
GTEX-R55E-0011-R1A-SM-2TC6N	GSM1117725_GTEX-R55E-0011-R1A-SM-2TO6L.CEL
GTEX-R55E-0011-R4A-SM-2TC5H	GSM1117726_GTEX-R55E-0011-R4A-SM-2TO6H.CEL
